,RiskOn,RiskOff
UNH,0.000707704,0.005184808
JNJ,0.000392023,0.001874005
PFE,0.000285752,0.001936219
LLY,0.000480791,0.002842082
TMO,0.000734374,0.002785019
MRK,0.000325351,0.003323112
ABT,0.000609503,2.83E-05
DHR,0.000632654,0.003259025
BMY,0.000446837,0.002566032
MDT,0.000292567,0.002210462
AMGN,0.000489033,0.001300976
CVS,0.000490971,0.002979126
ANTM,0.000655659,0.004110294
ISRG,0.001456493,0.001998481
SYK,0.000551618,0.000614245
CI,0.000547044,0.008137152
REGN,0.001294466,0.002115112
BDX,0.000491892,0.001372593
GILD,0.00068513,0.001301425
EW,0.00095061,0.002860649
VRTX,0.001134751,0.003153429
BSX,8.13E-05,0.004953216
HUM,0.00094174,0.00215744
ILMN,0.001341842,0.004260924
CNC,0.000935014,0.003537583
MCK,0.00060493,0.003773159
IDXX,0.000800095,0.004590826
BAX,0.000485334,0.000615535
A,0.000561711,0.002425434
RMD,0.000811653,0.002801565
BIIB,0.000569837,0.002011657
MTD,0.000839871,0.002606368
ALGN,0.000985703,0.006532435
WST,0.000996639,0.00112653
CERN,0.000621974,0.005487829
ZBH,0.000214002,0.002422375
LH,0.00050769,0.001334938
STE,0.000697332,0.000693828
ABC,0.000629745,0.003537906
PKI,0.000605051,0.00237443
COO,0.00045888,0.006098716
MOH,0.000891205,0.003678925
HOLX,0.000786882,0.002173688
WAT,0.000531401,0.002935847
CAH,0.000250912,0.001463781
DGX,0.000354964,0.002714522
TECH,0.000686493,0.000551885
TFX,0.000576739,0.001977416
INCY,0.000957714,0.004279326
CRL,0.000504084,0.003158725
ABMD,0.00130396,-0.002048798
VTRS,-3.11E-05,0.004155338
HSIC,0.000428807,0.002994973
BIO,0.00056067,0.003428431
UHS,0.000526521,0.004206208
XRAY,0.000249303,0.001724736
