,UNH,JNJ,PFE,ABBV,LLY,TMO,MRK,ABT,DHR,BMY,MDT,AMGN,CVS,ANTM,ISRG,ZTS,SYK,CI,REGN,BDX,GILD,EW,VRTX,BSX,HCA,HUM,ILMN,CNC,MCK,DXCM,IQV,IDXX,BAX,A,RMD,BIIB,MTD,ALGN,WST,CERN,ZBH,LH,STE,ABC,PKI,COO,MOH,HOLX,WAT,CTLT,CAH,DGX,TECH,TFX,INCY,CRL,ABMD,VTRS,HSIC,BIO,UHS,XRAY
UNH,0.0002764854767751783,9.838959620736682e-05,0.00010628421928705684,0.00013030573904913238,0.00012097705670962092,0.00012198409154440681,0.00010230931490586384,0.00013730603183559632,0.00011347142631254067,0.00010506817262689217,0.0001289966838952844,0.00013448790749285617,0.0001423491088143993,0.0002543232152739687,0.00015434774725721614,0.0001427582986631553,0.00014359816381322098,0.00023090600246097656,0.00011506604232413047,0.00010857686924060381,8.592858440591415e-05,0.00014715501458305476,0.00014780998017609805,0.0001452945943372085,0.00017443500415754908,0.00022953059384029568,0.00013698769754851364,0.00024994058660126337,0.00014537493750402716,0.00013004020633187451,0.00016220640322633654,0.00013138955368586144,0.00010746806761005056,0.00013268568634333065,0.00012029627345512111,0.00015281373331300333,0.0001257741871710559,0.00018769214226755767,0.00011301647374676375,0.00010563143988621623,0.00012383568200625346,0.00015967410426581127,0.00012143010195669688,0.00013730242127719182,0.00012464590938661841,0.0001226349558157416,0.0002406616758045416,0.00013238492531697903,0.00012037253881842009,0.0001508004134219185,0.00013688811383623847,0.00012400516879666846,0.00011148237243850475,0.0001283182782942234,0.0001398529745820007,0.00015877969878781419,0.00012567138948537995,0.00012627250117298498,0.00012758159622591368,0.00011382056851509853,0.0001797824482612629,0.00011704474905259195
JNJ,9.838959620736682e-05,0.00013704102028277537,9.024678060120827e-05,9.130899855550648e-05,0.00010101371189868866,8.92877357760235e-05,8.965864699494266e-05,0.00010274828762384232,8.030399091914326e-05,8.410919938492542e-05,8.810461824215905e-05,0.00010442474891023987,8.628291592229807e-05,9.63207327934044e-05,8.798066847812433e-05,9.033592634601103e-05,9.893929439447232e-05,9.012847732817418e-05,8.619495343276066e-05,8.132835633984384e-05,8.04054742694188e-05,9.212182228686266e-05,0.00010347529718180469,9.040566510941263e-05,7.516620306155203e-05,8.442102611139843e-05,8.906759845811959e-05,0.00010091154753931006,0.00010030792400773477,6.417552849760088e-05,8.60421150311236e-05,7.81763964499436e-05,8.522573753670396e-05,9.073525981077488e-05,8.532419950546975e-05,9.428958435556404e-05,8.695010121437995e-05,9.800636361898981e-05,7.622898808409968e-05,7.148102647913856e-05,8.264279987456792e-05,8.215747704208477e-05,8.46067131197955e-05,9.120477113853666e-05,7.923292483501688e-05,7.731427879064538e-05,9.680948603818843e-05,7.378925237137531e-05,8.534517755319128e-05,8.541020829953911e-05,9.978965341615888e-05,7.175784447084613e-05,6.431052517703142e-05,8.376077689846647e-05,8.637009034632423e-05,8.917694733430028e-05,7.192177856074874e-05,8.762242444374203e-05,8.533814203799287e-05,7.59958490762919e-05,9.290894745936953e-05,7.334398257463796e-05
PFE,0.00010628421928705684,9.024678060120827e-05,0.00020250776582122912,0.00011724726892159885,0.00012083872417093117,9.887132311535581e-05,0.00010304383789506297,0.00010330639676764285,9.007953379290562e-05,9.919641247578609e-05,8.588313630136247e-05,0.00011768603098357513,9.797019519767287e-05,0.00011548617502319377,9.285908801072567e-05,0.00010335606083124106,9.172135471159664e-05,0.00010734128461912727,0.00010685663993325418,8.681766500239516e-05,9.803662706181077e-05,9.464243932580746e-05,0.00012449792787348478,9.404619365838538e-05,9.161762898401875e-05,9.826264418125687e-05,0.00010585675673386066,0.00010875058660071084,0.00011153003692323138,7.537457598568382e-05,9.951266251691898e-05,7.481965180597146e-05,8.722902987334008e-05,9.887525619342146e-05,9.65078232194954e-05,0.00010929139902294741,9.298969453986266e-05,0.00010429355035528894,7.658449944387319e-05,7.32953332841438e-05,7.75740322124003e-05,9.634402048680965e-05,8.318081917818156e-05,0.00010044754871384111,9.383081906471292e-05,7.524944006952476e-05,0.00010174832600304062,8.085916485396539e-05,9.060174817558993e-05,0.00010308088317185998,0.00010850090907217403,8.168065931695806e-05,8.022140696029418e-05,7.945411526868242e-05,0.00010425644884930336,0.00010758507105214248,7.553968253202468e-05,0.00010568004535001823,8.766708262702579e-05,8.172106890248527e-05,9.349410009094052e-05,8.408796165939695e-05
ABBV,0.00013030573904913238,9.130899855550648e-05,0.00011724726892159885,0.00031082357998997933,0.00013214582751012083,0.00011465570918838236,0.00011139438219368382,0.00012400021604164953,9.604547147402102e-05,0.00012340286470124973,0.00011256034398578345,0.00014759024816708252,0.00010538975603188906,0.00013915446051178027,0.00012022090486333567,0.00012519061410022338,0.0001205243583003428,0.00013856012157500083,0.0001364664477914696,9.719666497654278e-05,0.00011617578552776557,0.00012071115434081597,0.00016800842567312916,0.00012481575042551452,0.0001255853989235194,0.00012882482871186225,0.00013614316811176382,0.00013680219734618754,0.00013391264897158201,0.00011777421141640671,0.00013154095035077803,0.00010461651459288079,9.9691242998326e-05,0.00012146687962761378,0.00011192907730682884,0.00015701281695100765,0.00010861336156967734,0.00015699938514543421,9.743864419255722e-05,9.01921195663028e-05,0.00011608511384242295,0.00011828133491676542,0.00010744935127211024,0.00012270439516064307,0.00010743623178927302,0.00010206086630598637,0.0001390004237197288,0.00011490326199517017,0.00010783309260173545,0.00012824892514916008,0.00012761179649534583,9.604393082958077e-05,0.00010009274483661794,0.0001150163181441398,0.00014545679923673094,0.0001390043961264045,0.00011330404711316059,0.0001393207534020866,0.00010032841173958411,9.976503791656792e-05,0.00013440491354934974,0.00010959459535423338
LLY,0.00012097705670962092,0.00010101371189868866,0.00012083872417093117,0.00013214582751012083,0.00028670304835040416,0.00010877032529259096,0.00011657337982928399,0.00012378922344656658,9.457698155463934e-05,0.00012234066317112728,8.907433312620954e-05,0.00013324566796153397,9.941052015735116e-05,0.00012446879329819686,0.00010425412704629099,0.00012368547735638484,9.4621598841135e-05,0.00012083974170722553,0.00013885269762549876,9.212990254708855e-05,0.00010212926682018464,0.00011254052858434738,0.00013824882969916652,9.717852786901889e-05,8.191679454319001e-05,0.00010503995604678198,0.0001296187984249454,0.00012084025649937075,0.00012316754295058435,8.678580122462945e-05,0.00011211591302075617,9.556761002053878e-05,9.503546381294321e-05,0.00010759949189727227,0.00011424840111651069,0.0002025905311093345,9.495918434518881e-05,0.00011308808809181818,9.526346025268525e-05,7.613733859506288e-05,7.837990306206384e-05,0.00010182429210950219,8.8361794864339e-05,0.00011560010197657034,8.811643267688481e-05,8.713589067983315e-05,0.00011257630030914187,9.278175756043399e-05,9.400522594170272e-05,0.0001229376456597169,0.00011228200006222416,8.466743799421504e-05,8.144033375883308e-05,8.746461539908992e-05,0.00014322762258860052,0.00011519651379665465,9.144190618883772e-05,0.00011048897501217907,8.587992210851202e-05,9.282815647137056e-05,8.635306316335537e-05,7.428118394017738e-05
TMO,0.00012198409154440681,8.92877357760235e-05,9.887132311535581e-05,0.00011465570918838236,0.00010877032529259096,0.00023429457420633235,0.0001062765449132718,0.00015846552131019797,0.00015277671940180733,9.816593181679508e-05,0.00010352531135890208,0.0001269885399380184,8.643028079758324e-05,0.00012912385606366527,0.00016062725447692517,0.00014074935236707542,0.0001194894295140155,0.0001128845020439276,0.0001294113322228474,0.00011821733516086901,0.00010362555005825957,0.0001421131008894075,0.00015424268498633688,0.00012689249262745123,0.00010321787507965372,0.00011078434754994603,0.00018040974072637477,0.00013734339275574763,0.0001127489161917488,0.00015587344958625343,0.00015393168227879377,0.00015515860790129207,0.00011599447077270303,0.00017659530851061727,0.0001257472254814647,0.00014404622973633404,0.00016624946859571858,0.0001791709600503919,0.00013740325145520545,9.62192159186532e-05,0.00010260157151911394,0.0001271540722771947,0.00011568330076350698,9.867566560185176e-05,0.00018048913752575406,0.00010666671097541442,0.00014173306092292784,0.00015049975058619943,0.00014982087559995026,0.00016105036305039886,0.0001017712463096377,0.00011255337674721869,0.00013791966787859278,0.00012119592988530612,0.00014995440954697546,0.00017200073866532696,0.00014420917906764514,0.00011465744995564276,8.851200382320664e-05,0.0001573596677177672,9.418690550020258e-05,8.346491379729446e-05
MRK,0.00010230931490586384,8.965864699494266e-05,0.00010304383789506297,0.00011139438219368382,0.00011657337982928399,0.0001062765449132718,0.00019120161085853208,0.00010946824165882243,8.928989333625734e-05,8.81783224811411e-05,9.114813376433055e-05,0.0001226179904802809,9.146254609453205e-05,0.00011156333826910004,9.711068690243365e-05,0.00010967047988399037,9.343712254556334e-05,0.00010834355919133105,0.00011290559452090321,8.629195301375894e-05,9.659595288220575e-05,9.915744734637668e-05,0.0001315597808512401,9.867094604113152e-05,8.985122476924836e-05,9.497367361411391e-05,0.00011423914822207954,9.944468189158933e-05,0.00011922210092434412,8.473306883522378e-05,0.00010575265519339033,8.625753505468095e-05,8.818017567144996e-05,0.0001011504350223524,8.889910200913287e-05,0.000111234429727193,9.1248471505075e-05,0.00010689524669111019,8.09503508991134e-05,7.886506383735501e-05,8.638523295426172e-05,9.378758273687324e-05,9.071042061874092e-05,0.00010531338431022394,9.062629937077724e-05,8.345570593358014e-05,0.000102018002006282,9.669088113856292e-05,8.765430148343098e-05,0.00010906438483436007,0.00010707445277589829,7.910122755927604e-05,7.739006887392608e-05,8.586209671136578e-05,0.00011610315482582096,0.00011197272770377596,7.695202029296232e-05,0.00011062501032649616,8.759437578412435e-05,8.487000513164564e-05,0.00010153571128044792,8.119761325334256e-05
ABT,0.00013730603183559632,0.00010274828762384232,0.00010330639676764285,0.00012400021604164953,0.00012378922344656658,0.00015846552131019797,0.00010946824165882243,0.0002290723136443981,0.00013378467130753597,9.901934449092431e-05,0.00012341389155069455,0.00013677776765785138,0.00010017839735180653,0.00013910169820707964,0.0001659556432840183,0.00014044186329784705,0.00014088752227661353,0.00012448179654164283,0.0001384255006193298,0.00012298053132062136,0.00010996698427947792,0.00016087302860302575,0.00015606070435113977,0.00014659377887945113,0.00011305241052764451,0.00012228294217118602,0.0001670414997327619,0.00015317631013436178,0.0001204366694178479,0.0001638352132894461,0.0001473075178121153,0.00015352072317704018,0.00012851161716635637,0.00014924096543822074,0.00013967291267263766,0.000146288200516356,0.00014546935722913927,0.00018770095301446596,0.0001350250357037657,0.00010561719186371249,0.00011970416638932122,0.00012934946532777296,0.00013120441247733584,0.00011265075848218608,0.00014068417360180385,0.00012363053711379838,0.00015199868883367302,0.00015004544455784365,0.00013141171784531,0.0001534834718811922,0.00011658031744719335,0.0001065546453262449,0.00012464274740336148,0.00013493003380349964,0.00014955902368302135,0.00015997914562814318,0.00015837787767519055,0.00012517396308839307,0.00010476995317973573,0.0001393419906388805,0.00011586579781663085,9.801831329668377e-05
DHR,0.00011347142631254067,8.030399091914326e-05,9.007953379290562e-05,9.604547147402102e-05,9.457698155463934e-05,0.00015277671940180733,8.928989333625734e-05,0.00013378467130753597,0.00018786342762718277,8.509352384682195e-05,9.861894586698186e-05,0.00010792355116848497,7.833279296603654e-05,0.00011372599894723719,0.0001384539311915364,0.00012382861246550828,0.00011685574823832983,9.685445168455586e-05,0.00010562759387152473,9.979965449883527e-05,8.702750054203252e-05,0.00012150264255153271,0.00012658348269285735,0.00011285678968100512,9.31110503194963e-05,0.00010307779775054988,0.00014950637035999545,0.00011831574180320352,9.199992994174431e-05,0.00013805315981176152,0.00013865049906456515,0.00014284073800050696,9.698488087701793e-05,0.00014735991802879852,0.00011367665228141455,0.00011454306948810257,0.00013914582709264814,0.00016978795177097664,0.0001263360143983964,7.830230148256015e-05,9.315706525165044e-05,0.00012368303862584487,0.000105327818453279,8.605686313749934e-05,0.00014754587426730234,0.00010414327773364467,0.00012486843949062693,0.00013211975765423917,0.00012788845234320466,0.00014592846520414488,8.678887858724308e-05,0.00010582522943557106,0.00012541735195259333,0.00011331602977298876,0.00011758469028247509,0.00015262849069640278,0.00011678761309225998,9.149340348478783e-05,8.459432310930613e-05,0.0001351650593599008,8.697273382093852e-05,8.525611947023332e-05
BMY,0.00010506817262689217,8.410919938492542e-05,9.919641247578609e-05,0.00012340286470124973,0.00012234066317112728,9.816593181679508e-05,8.81783224811411e-05,9.901934449092431e-05,8.509352384682195e-05,0.000246256989617795,9.14602127551365e-05,0.00012241604993252722,8.868217584499077e-05,0.00010721829271434732,9.844023886261647e-05,0.00010605716143695608,8.9336780551108e-05,0.00010439187141944952,0.00012502703111687827,8.135702253762736e-05,9.661345492422934e-05,0.00010518398942319236,0.0001333240962743681,0.00010049936805944813,8.241385928414095e-05,8.903166697809505e-05,0.00011651116343972368,9.973399063817397e-05,0.00011574254157439822,9.062656142446528e-05,0.00010787033119382151,8.961234347012242e-05,8.053806968877665e-05,9.812974483125233e-05,9.15516117418039e-05,0.00014714097514981545,9.169133588174803e-05,0.00011151764712483433,8.132880250432205e-05,7.534650760865882e-05,8.337248506937854e-05,9.061122905254008e-05,7.831556210426606e-05,0.00010877541252990515,9.123493308347515e-05,7.940774112697157e-05,0.00010000991663010805,8.510203951787954e-05,9.121574662802217e-05,0.00011571909891794613,0.00011123427756251866,7.459220779175802e-05,8.028002008450379e-05,8.997058933214212e-05,0.00013910184431415677,0.00011877545952974293,9.037238855215552e-05,0.00012178027788338274,8.154481696143075e-05,8.074196738909384e-05,9.167410949159573e-05,8.424054560295253e-05
